Informations de la variable,,,,,,,,,
,"42,00",One 2 200 Controlé ?  36h d'appels + 1 Go + 300 SMS,,,,,,,
,"43,00",One 4 000 Controlé ? 0 Da vers Ooredoo 24h/24h + 2 Go + 300 SMS,,,,,,,
,"44,00",One 1 500 Ouverte ? 3 000 DA + 500 Mo + 1 N° Favori (500 Min + SMS illim),,,,,,,
,"45,00",One 2 200 Ouverte ? 36h d'appels + 1 Go + 300 SMS,,,,,,,
,"46,00",One 4 000 Ouverte ? 0 Da vers Ooredoo 24h/24h + 2 Go + 300 SMS,,,,,,,
,"47,00",Pro 1200 ? 300 Mo,,,,,,,
,"48,00",Pro 2400 ? 400 Mo,,,,,,,
,"49,00",Pro 4000 ? 500 Mo,,,,,,,
,"98,00",Autres,,,,,,,
Q23_D,"1,00",Line 1 200 ? 3 N° Favoris + 3 H + 300 Mo + 500 SMS + Fb & twitter &WhatsApp,,,,,,,
,"2,00",Line 2 000 ? Gratuit 20h à 08h + 4 H + 1 Go + 200 SMS,,,,,,,
,"3,00",Line 3 000 ? Gratuit 24h + 3 H + 1.5 Go + 300 SMS,,,,,,,
,"4,00",Line 5 000 ? Gratuit 24h + 10 H + 4 Go + SMS Gratuit,,,,,,,
,"5,00",Business Control 900 ? 300 Mo,,,,,,,
,"6,00",Business 1100 ? 100 Mo + 5H,,,,,,,
,"7,00",Business Control 2000 ? 600 Mo + 5H,,,,,,,
,"8,00",Business 2200 ? 300 Mo + 11H,,,,,,,
,"9,00",Business Control 3000 ? 900 Mo + 10H,,,,,,,
,"10,00",Business Control 3500 ? 600 Mo + 20H,,,,,,,
,"11,00",Infinity 2000 ? 1Go +4H,,,,,,,
,"12,00",Infinity 3000 ? 1.5Go +3H,,,,,,,
,"13,00",Infinity 5000 ? 4Go +10H,,,,,,,
,"98,00",Autres,,,,,,,
Q23_M,"21,00",MobiControl 1 500 ++ ? 1 500 DA = 1 500 DA + 1 Go,,,,,,,
,"22,00",MobiControl 2 000 DA ? 2 000 DA = 2 000 DA + 250 Mo,,,,,,,
,"23,00",Win 1 300 ? 500 DA à l'achat + 3 N° Favoris + 3 H + 1 Go + 100 SMS,,,,,,,
,"24,00",Win 2 000  ? 500 DA à l'achat + 3 N° Favoris + 5 H + 2 Go + 200 SMS  '+ Gratuit 21h30 à 17h30 + 250 DA Bonus Internat,,,,,,,
,"25,00",Win 3 500 ? 500 DA à l'achat + 8 H + 4 Go + SMS & Apl Gratuit '+ 500 DA Bonus International + Fb & twitter &WhatsApp,,,,,,,
,"26,00",Mhenni ++ 800 ? 1Go + 10 H,,,,,,,
,"27,00",Mhenni + 800 ? 100 Mo + 1 H,,,,,,,
,"28,00",Mobi Corporate 1000 ? 100 Mo  +8 H,,,,,,,
,"29,00",Win Pro 1100 ? 1.5 Go + 3 H,,,,,,,
,"30,00",Mhenni ++ 1500 ? 2Go + 30 H,,,,,,,
,"31,00",Mhenni + 1500 ?300 Mo + 2 H,,,,,,,
,"32,00",Mobi Corporate 2200 ? 250 Mo  +18 H,,,,,,,
,"33,00",Select 2200 ? 500 Mo + 8 H,,,,,,,
,"34,00",Win Pro 2200 ? 3Go +16 H,,,,,,,
,"35,00",Win Pro 3300 ? 5Go +10 H,,,,,,,
,"36,00",Privilège 3800 ? 1Go + 12 H,,,,,,,
,"37,00",Mobi Corporate 4000 ? 500 Mo,,,,,,,
,"38,00",Win Pro 4400 ? 5Go +15 H,,,,,,,
,"98,00",Autres,,,,,,,
,"121,00",Win 1 800 ? 500 DA à l'achat + 3 N° Favoris + 3 H + 5Go + 100 SMS '+ Gratuit 21h30 à 12h30 + 250 DA Bonus Internation,,,,,,,
,"122,00",Win 2500  ? 500 DA à l'achat + 3 N° Favoris + 5 H + 8 Go + 200 SMS '+ Gratuit 21h30 à 17h30 + 250 DA Bonus Internatio,,,,,,,
,"123,00",Win 4000 ? 500 DA à l'achat + 8 H + 15 Go + SMS & Apl Gratuit '+ 500 DA Bonus International + Fb & twitter &WhatsApp,,,,,,,
Q24_O,"41,00",Facebook illimité ? 50 DA = Facebook illimité + 50 Mo (valables 2h),,,,,,,
,"42,00",Forfait 100 DA ? 100 DA = 50 Mo (24h),,,,,,,
,"43,00",Forfait Nuit 100 DA ? 100 DA = 500 Mo (De minuit a 6h),,,,,,,
,"44,00",Forfait 200 DA ? 200 DA = 200 Mo (48h),,,,,,,
,"45,00",Forfait 300 DA ? 300 DA = 400 Mo (72h),,,,,,,
,"46,00",Forfait 1 000 DA ? 1 000 DA = 1 Go (30 Jrs),,,,,,,
,"47,00",Forfait 2 500 DA ? 2 500 DA = 3 Go (30 Jrs),,,,,,,
,"48,00", Connecxion en Kilots Octets,,,,,,,
,"98,00",Autres,,,,,,,
Q24_D,"1,00",Speed Matin ? 50 DA = 100 Mo de 07h00 - 00h00,,,,,,,
,"2,00",Speed Nuit ? 50 DA = Illimité Mo de 00h00 - 07h00,,,,,,,
,"3,00",Speed 1 Jour ? 100 DA = 100 Mo,,,,,,,
,"4,00",Speed 2 Jours ? 200 DA = 300 Mo,,,,,,,
,"5,00",Speed 4 Jours ? 300 DA = 600 Mo,,,,,,,
,"6,00",Speed 1 Mois ? 800 DA = 1 Go,,,,,,,
,"7,00",Speed 1 Mois ? 2 000 DA = 2 Go,,,,,,,
,"8,00",AmiGo 1 Semaine ? 150 DA = 200 Mo,,,,,,,
,"9,00",AmiGo Jour ? 30 DA = 50 Mo,,,,,,,
,"11,00",Speed Heure 07h00-00h00 ? 50 DZ=100 Mo,,,,,,,
,"12,00",Speed Heure 00h00-07h00 ? 50 DZ Illimité,,,,,,,
,"13,00", Connecxion en Kilots Octets,,,,,,,
,"98,00",Autres,,,,,,,
Q24_M,"21,00",Pass Facbook + WhatsApp ? 30 DA = 50 Mo,,,,,,,
,"22,00",Pass 1 Jour ? 100 DA = 50 Mo,,,,,,,
,"23,00",Pass 1 Mois ? 500 DA = 250 Mo,,,,,,,
,"24,00",Pass 1 Mois ? 1 000 DA = 1 Go,,,,,,,
,"25,00",Pass 1 Mois ? 1 900 DA = 2 Go,,,,,,,
,"26,00",Pass 1 Mois ? 4 000 DA = 5 Go,,,,,,,
,"27,00",Pass Illimité 1H ? 50 DA = 1 Heures (Only Postpaid offer),,,,,,,
,"28,00",Pass 24H ? 100 DA = 150 Mo  (Only Postpaid offer),,,,,,,
,"29,00",Pass 24H ? 150 DA = 250 Mo  (Only Postpaid offer),,,,,,,
,"30,00",Pass 3 Jours ? 250 DA = 300 Mo  (Only Postpaid offer),,,,,,,
,"31,00",Pass 10 Jours ? 500 DA = 1 Go  (Only Postpaid offer),,,,,,,
,"32,00",Pass 30 Jours ? 300 DA = 200 Mo  (Only Postpaid offer),,,,,,,
,"33,00",Pass 30 Jours ? 900 DA = 1 Go  (Only Postpaid offer),,,,,,,
,"34,00",Pass 30 Jours ? 1 600 DA = 2 Go  (Only Postpaid offer),,,,,,,
,"35,00",Pass 30 Jours ? 2 300 DA = 3 Go  (Only Postpaid offer),,,,,,,
,"36,00",Pass 30 Jours ? 3 600 DA = 5 Go  (Only Postpaid offer),,,,,,,
,"37,00", Connecxion en Kilots Octets,,,,,,,
,"98,00",Autre,,,,,,,
,"121,00",Pass FB/WhatsApp?  60 DA=100 Mo/24 Heures,,,,,,,
,"122,00",Pass Turbo*?  250 DA=illimité/1Heure,,,,,,,
,"123,00",Pass NIGHT De 2h00 à 5h00* ?  200 DA=illimité/1Heure,,,,,,,
,"124,00",Pass internet 7 jours?  300 DA=400 Mo/07 jours,,,,,,,
,"125,00",Pass internet 4G 30j?  1000 DA=2Go/30 jours,,,,,,,
,"126,00",Pass internet 4G 30j?  1300 DA=3Go/30 jours,,,,,,,
,"127,00",Pass internet 4G 30j?  2100 DA=5Go/30 jours,,,,,,,
,"128,00",Pass internet 4G 30j?  3200 DA=8 Go/30 jours,,,,,,,
,"129,00",Pass internet 4G 30j?  4300 DA=12 Go/30 jours,,,,,,,
,"130,00",Pass internet 4G 30j?  5600 DA=16 Go/30 jours,,,,,,,
,"131,00",Pass internet 4G 30j?  6000 DA=20 Go/30 jours,,,,,,,
Q25_O,"41,00",Maxy 1000 ? 1000 DA = 2000 DA + 1.5 Go / 30 Jrs,,,,,,,
,"42,00",Maxy 2000 ? 2000 DA = 4000 DA + 4 Go / 30 Jrs,,,,,,,
,"43,00",Maxy 4000 ? 4000 DA = 4000 DA +d’appels illimités vers ooredoo de 18H à 06H + 10 Go / 30 Jrs,,,,,,,
,"44,00",Un pack  Ooredoo,,,,,,,
Q25_D,"1,00",Play 750 ? 750 DA = 850 DA (300 min + 200 sms) + 100 Mo / 30 Jrs,,,,,,,
,"2,00",Play 1000 ? 1000 DA = 3000 DA (2000 DA de Bonus) + 3 Go / 30 Jrs,,,,,,,
,"3,00",Play 1000 ? 1000 DA = 1000 DA (Gratuit 22h - 07h to DJEZZY) + 500 Mo / 30 Jrs,,,,,,,
,"4,00",Play 1000 ? 1000 DA = 1000 DA (300 Minutes vers Djezzy) + 1.5 Go / 30 Jrs,,,,,,,
,"5,00",Play 1000 ? 1000 DA = 1000 DA (1 Num Favori) + 500 Mo / 30 Jrs,,,,,,,
,"6,00",Play 2000 ? 2000 DA = 6500 DA + 2.5 Go / 30 Jrs,,,,,,,
,"7,00",Play 2000 ? 2000 DA = 2000 DA (Gratuit 22h -10h + 24h/24h Weekend DJEZZY) + 500 Mo / 30 Jrs,,,,,,,
,"8,00",Play 2000 ? 2000 DA = 2000 DA (3 Numéros Favoris) + 500 Mo / 30 Jrs,,,,,,,
,"9,00",Play 2000 ? 2000 DA = 2000 DA (700 Minutes vers Djezzy) + 2.5 Go / 30 Jrs,,,,,,,
,"10,00",Koulech Good ? 200 DA = 200 DA (120 Minutes + 50 sms Vers DJEZZY) + 50 Mo / 24h,,,,,,,
,"101,00",DJEZZY LIBERTY? 50 DA = 50 Min vers Djezzy + 5 Min vres les autre réseaux + SMS gratuits +10 Mo d’internet offerts/ 0,,,,,,,
,"102,00",DJEZZY LIBERTY? 100 DA =  illimités vers Djezzy + 10 Min vres les autre réseaux + SMS gratuits + 50 Mo d’internet of,,,,,,,
,"103,00",DJEZZY LIBERTY? 150 DA =  illimités vers Djezzy + 20 Min vres les autre réseaux + SMS gratuits + 200 Mo d’internet o,,,,,,,
,"104,00","DJEZZY MILLENIUM? 1150 DA =  1500 Min vers Djezzy + 150 Min vres les autre réseaux + SMS gratuits + 2,5 Go d’internet",,,,,,,
,"105,00","DJEZZY MILLENIUM?2300 DA =  illimités  vers Djezzy + 300 Min vres les autre réseaux + SMS gratuits + 4,5 Go d’intern",,,,,,,
,"106,00",DJEZZY MILLENIUM? 3450 DA =  illimités  vers Djezzy + 600 Min vres les autre réseaux + SMS gratuits + 10 Go d’intern,,,,,,,
,"107,00",Un pack  Djezzy,,,,,,,
Q25_M,"21,00",Awel TOP 500 ? 500 DA = 1000 DA + 500 Mo / 7 jrs,,,,,,,
,"22,00",Awel TOP 2000 ? 2000 DA = 5000 DA + (Facebook;WhatsApp) + 3 Go / 30 Jrs,,,,,,,
,"23,00",Awel 1000 ? 1000 DA = 2500 DA + 1 Go / 15 Jrs,,,,,,,
,"24,00",Awel 2000 ? 2000 DA = 7000 DA + 1 Go / 30 Jrs,,,,,,,
,"25,00",El- Khedra ONE 1000 ?appels gratuits de 00h00 à 13h00 +13 h vres les autre réseaux + 100 SMS+ 1Go d'internet 3G++ / 30,,,,,,,
,"26,00",El- Khedra TWO 2000 ?appels gratuits de 22h30 à 18h00 +19 h vres les autre réseaux+ 200 SMS+ 2Go d'internet 3G++ / 30,,,,,,,
,"27,00",El- Khedra THREE 3000 ?appels gratuits de21h00 à 17h00 +13 h vres les autre réseaux + 300 SMS+ 3Go d'internet 3G++ / 3,,,,,,,
,"28,00",Un pack  Mobilis,,,,,,,
Q28C1,"1,00",Une ligne fixe avec ADSL,,,,,,,
Q28C2,"1,00",Une ligne fixe sans ADSL,,,,,,,
Q28C3,"1,00",Une ligne WLL,,,,,,,
Q28C4,"1,00",Un Modem 4G LTE,,,,,,,
Q28C5,"1,00",Aucun,,,,,,,
Q29,"1,00",Oui,,,,,,,
,"2,00",Non,,,,,,,
Q30,"1,00",Samsung,,,,,,,
,"2,00",Nokia,,,,,,,
,"3,00",Sony Ericsson,,,,,,,
,"4,00",Sony,,,,,,,
,"5,00",BlackBerry,,,,,,,
,"6,00",LG,,,,,,,
,"7,00",HTC,,,,,,,
,"8,00",Motorolla,,,,,,,
,"9,00",Apple 'IPHONE',,,,,,,
,"10,00",Condor,,,,,,,
,"11,00",Alcatel,,,,,,,
,"12,00",Wiko,,,,,,,
,"13,00",IRIS,,,,,,,
,"14,00",Huawei,,,,,,,
,"15,00",Lenovo,,,,,,,
,"16,00",stream,,,,,,,
,"17,00",OPPO,,,,,,,
,"18,00",DOOGEE,,,,,,,
,"98,00",Autre,,,,,,,
Q31C1,"1,00",Cyber café,,,,,,,
Q31C2,"1,00",ADSL à la maison (par câble),,,,,,,
Q31C3,"1,00",ADSL à la maison (par Wifi),,,,,,,
Q31C4,"1,00",ADSL réseau du voisin (par cable),,,,,,,
Q31C5,"1,00",ADSL_réseau du voisin (par wifi),,,,,,,
Q31C6,"1,00",ADSL au travail,,,,,,,
Q31C7,"1,00",Clé Internet,,,,,,,
Q31C8,"1,00",Puce Internet (SIM DATA),,,,,,,
Q31C9,"1,00","Wifi Public gratuit ( université, restaurant, Transport…)",,,,,,,
Q31C10,"1,00",Clé/Puce internet des amis/Famille,,,,,,,
Q31C11,"1,00",4G LTE,,,,,,,
Q31C12,"1,00",Aucune,,,,,,,
Q31C13,"1,00",Autre: préciser,,,,,,,
Q32C1,"1,00",Ordinateur de Bureau (DESKTOP),,,,,,,
Q32C2,"1,00",Ordinateur portable (LAPTOP),,,,,,,
Q32C3,"1,00",Tablet,,,,,,,
Q32C4,"1,00",Smart TV,,,,,,,
Q32C5,"1,00",Smart Démo,,,,,,,
Q32C6,"1,00",Smart Watch,,,,,,,
Q32C7,"1,00",Aucun,,,,,,,
Q33C1,"1,00",Facebook,,,,,,,
Q33C2,"1,00",Facebook Messenger,,,,,,,
Q33C3,"1,00",Skype,,,,,,,
Q33C4,"1,00",Viber,,,,,,,
Q33C5,"1,00",WhatsApp,,,,,,,
Q33C6,"1,00",Twiter,,,,,,,
Q33C7,"1,00",Snapshat,,,,,,,
Q33C8,"1,00",Instagram,,,,,,,
Q33C9,"1,00",Autres (Precisez),,,,,,,
Q33C10,"1,00",Aucun,,,,,,,
Q34,"1,00",Djezzy,,,,,,,
,"2,00",Mobilis,,,,,,,
,"3,00",Ooredoo,,,,,,,
Q34_A,"1,00", connexion 3G,,,,,,,
,"2,00", connexion 4G,,,,,,,
,"3,00",Connexion  2G,,,,,,,
Q35,"1,00", Personnelle,,,,,,,
,"2,00", Professionnelle,,,,,,,
Q36,"1,00",PREPAYEES,,,,,,,
,"2,00",POSTPAYEES,,,,,,,
Q37_O,"41,00",Facebook illimité ? 50 DA = Facebook illimité + 50 Mo (valables 2h),,,,,,,
,"42,00",Forfait 100 DA ? 100 DA = 50 Mo (24h),,,,,,,
,"43,00",Forfait Nuit 100 DA ? 100 DA = 500 Mo (De minuit a 6h),,,,,,,
,"44,00",Forfait 200 DA ? 200 DA = 200 Mo (48h),,,,,,,
,"45,00",Forfait 300 DA ? 300 DA = 400 Mo (72h),,,,,,,
,"46,00",Forfait 1 000 DA ? 1 000 DA = 1 Go (30 Jrs),,,,,,,
,"47,00",Forfait 2 500 DA ? 2 500 DA = 3 Go (30 Jrs),,,,,,,
,"48,00",PACK N'TERNET 2 500 DA ? 2 500 DA = 4 Go (30 Jrs) + Clé,,,,,,,
,"98,00",Autres,,,,,,,
Q37_D,"1,00",Speed Matin ? 50 DA = 100 Mo de 07h00 - 00h00,,,,,,,
,"2,00",Speed Nuit ? 50 DA = Illimité Mo de 00h00 - 07h00,,,,,,,
,"3,00",Speed 1 Jour ? 100 DA = 100 Mo,,,,,,,
,"4,00",Speed 2 Jours ? 200 DA = 300 Mo,,,,,,,
,"5,00",Speed 4 Jours ? 300 DA = 600 Mo,,,,,,,
,"6,00",Speed 1 Mois ? 800 DA = 1 Go,,,,,,,
,"7,00",Speed 1 Mois ? 2 000 DA = 2 Go,,,,,,,
,"8,00",AmiGo 1 Semaine ? 150 DA = 200 Mo,,,,,,,
,"9,00",AmiGo Jour ? 30 DA = 50 Mo,,,,,,,
,"98,00",Autres,,,,,,,
Q37_M,"21,00",Pass Facbook + WhatsApp ? 30 DA = 50 Mo,,,,,,,
,"22,00",Pass 1 Jour ? 100 DA = 50 Mo,,,,,,,
,"23,00",Pass 1 Mois ? 500 DA = 250 Mo,,,,,,,
,"24,00",Pass 1 Mois ? 1 000 DA = 1 Go,,,,,,,
,"25,00",Pass 1 Mois ? 1 900 DA = 2 Go,,,,,,,
,"26,00",Pass 1 Mois ? 4 000 DA = 5 Go,,,,,,,
,"27,00",Navigui ? 1 000 DA = 1 Go + Clé internet,,,,,,,
,"28,00",Darynet Bronze ? 750 DA = 500 Mo,,,,,,,
,"29,00",Darynet Silver ? 1 000 DA = 1 Go,,,,,,,
,"30,00",Darynet Gold ? 3 000 DA = 4 Go,,,,,,,
,"98,00",Autres,,,,,,,
Q39,"1,00",Djezzy,,,,,,,
,"2,00",Mobilis,,,,,,,
,"3,00",Ooredoo,,,,,,,
Q39_A,"1,00", connexion 3G,,,,,,,
,"2,00", connexion 4G,,,,,,,
,"3,00",Connexion  2G,,,,,,,
Q40,"1,00", Personnelle,,,,,,,
,"2,00", Professionnelle,,,,,,,
Q41,"1,00",PREPAYEES,,,,,,,
,"2,00",POSTPAYEES,,,,,,,
Q42_O,"41,00",Facebook illimité ? 50 DA = Facebook illimité + 50 Mo (valables 2h),,,,,,,
,"42,00",Forfait 100 DA ? 100 DA = 50 Mo (24h),,,,,,,
,"43,00",Forfait Nuit 100 DA ? 100 DA = 500 Mo (De minuit a 6h),,,,,,,
,"44,00",Forfait 200 DA ? 200 DA = 200 Mo (48h),,,,,,,
,"45,00",Forfait 300 DA ? 300 DA = 400 Mo (72h),,,,,,,
,"46,00",Forfait 1 000 DA ? 1 000 DA = 1 Go (30 Jrs),,,,,,,
,"47,00",Forfait 2 500 DA ? 2 500 DA = 3 Go (30 Jrs),,,,,,,
,"48,00",PACK N'TERNET 2 500 DA ? 2 500 DA = 4 Go (30 Jrs) + Clé,,,,,,,
,"98,00",Autres,,,,,,,
Q42_D,"1,00",Speed Matin ? 50 DA = 100 Mo de 07h00 - 00h00,,,,,,,
,"2,00",Speed Nuit ? 50 DA = Illimité Mo de 00h00 - 07h00,,,,,,,
,"3,00",Speed 1 Jour ? 100 DA = 100 Mo,,,,,,,
,"4,00",Speed 2 Jours ? 200 DA = 300 Mo,,,,,,,
,"5,00",Speed 4 Jours ? 300 DA = 600 Mo,,,,,,,
,"6,00",Speed 1 Mois ? 800 DA = 1 Go,,,,,,,
,"7,00",Speed 1 Mois ? 2 000 DA = 2 Go,,,,,,,
,"8,00",AmiGo 1 Semaine ? 150 DA = 200 Mo,,,,,,,
,"9,00",AmiGo Jour ? 30 DA = 50 Mo,,,,,,,
,"98,00",Autres,,,,,,,
Q42_M,"21,00",Pass Facbook + WhatsApp ? 30 DA = 50 Mo,,,,,,,
,"22,00",Pass 1 Jour ? 100 DA = 50 Mo,,,,,,,
,"23,00",Pass 1 Mois ? 500 DA = 250 Mo,,,,,,,
,"24,00",Pass 1 Mois ? 1 000 DA = 1 Go,,,,,,,
,"25,00",Pass 1 Mois ? 1 900 DA = 2 Go,,,,,,,
,"26,00",Pass 1 Mois ? 4 000 DA = 5 Go,,,,,,,
,"27,00",Navigui ? 1 000 DA = 1 Go + Clé internet,,,,,,,
,"28,00",Darynet Bronze ? 750 DA = 500 Mo,,,,,,,
,"29,00",Darynet Silver ? 1 000 DA = 1 Go,,,,,,,
,"30,00",Darynet Gold ? 3 000 DA = 4 Go,,,,,,,
,"98,00",Autres,,,,,,,
Q44,"1,00",Pas du tout satisfait,,,,,,,
,"2,00",Peu satisfait,,,,,,,
,"3,00",Satisfait,,,,,,,
,"4,00",Très satisfait,,,,,,,
A2,"1,00",Homme,,,,,,,
,"2,00",Femme,,,,,,,
CODAGE,"1,00",10 ans - 14 ans,,,,,,,
,"2,00",15 ans - 17 ans,,,,,,,
,"3,00",18 ans - 24 ans,,,,,,,
,"4,00",25 ans - 34 ans,,,,,,,
,"5,00",35 ans - 44 ans,,,,,,,
,"6,00",45 ans - 54 ans,,,,,,,
,"7,00",55 ans - 64 ans,,,,,,,
,"8,00",64 ans et plus,,,,,,,
A4_A,"1,00"," Profession libérale(notaire, médecin, avocat...) Cadre Supérieur, Enseignant au Lycée ou à l'université, Professi",,,,,,,
,"2,00","Cadre Moyen (Technicien (électiricité, informatique, électronique, froid), Enseignant du CEM et primaire, licence)",,,,,,,
,"3,00","Employé de bureau (Administrations, commerce et services, arts et culture, agent de sécurité)",,,,,,,
,"4,00","Petit patron, Commerçant (propriétaire),",,,,,,,
,"5,00","Ouvrier de l’industrie, Manuvre, maçon chez un entrepreneur",,,,,,,
,"6,00",Agriculteur (Patron ou Salarié),,,,,,,
,"7,00",Femmes au foyer (Ménagère),,,,,,,
,"8,00", Etudiant / Elève/stagière,,,,,,,
,"9,00", Chômeur,,,,,,,
,"10,00","Retraité, Pensionnaire, Autre inactif",,,,,,,
,"11,00", Non résident,,,,,,,
,"12,00",Refus,,,,,,,
CODA4_A,"1,00",Actifs,,,,,,,
,"2,00",Autres Actifs (Chomeur),,,,,,,
,"3,00",Inactifs,,,,,,,
,"4,00",Autres Inactifs (Femme au Foyer),,,,,,,
,"99,00",99,,,,,,,
F6,"1,00",Commentaires,,,,,,,
